id,medicine_name,drug_type,main_use,common_forms,safety_note,source_reference
1,Paracetamol,Painkiller / fever medicine,Pain and fever,"Tablet, syrup","Too much can damage the liver. Check other medicines for paracetamol too.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
2,Ibuprofen,NSAID painkiller,"Pain, fever and swelling","Tablet, capsule, syrup","Can irritate the stomach and affect kidneys. Has important heart-related warnings.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
3,Diclofenac,NSAID painkiller,Pain and inflammation,"Tablet, gel, injection","Can cause stomach, kidney and heart-related problems.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
4,Mefenamic acid,NSAID painkiller,Short-term pain relief,"Tablet, capsule","Can irritate the stomach or cause bleeding.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
5,Omeprazole,PPI / acid reducer,Reduces stomach acid,"Capsule, tablet","Long-term use should be medically supervised.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
6,Pantoprazole,PPI / acid reducer,Reduces stomach acid,"Tablet, injection","Follow the product instructions; long-term use needs medical supervision.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
7,Metronidazole,Antimicrobial,Some bacterial and protozoal infections,"Tablet, liquid, injection","Important drug interactions exist. Check alcohol-related precautions for the exact product.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
8,Amoxicillin,Penicillin antibiotic,Some bacterial infections,"Capsule, tablet, syrup","Important if the person has a serious penicillin allergy. Does not treat viruses.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
9,Amoxicillin + Clavulanic acid,Penicillin antibiotic combination,Some bacterial infections,"Tablet, syrup, injection","Penicillin allergy and stomach upset are important precautions.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
10,Cefixime,Cephalosporin antibiotic,Some bacterial infections,"Tablet, capsule, syrup","Check for allergy to cephalosporins or related antibiotics.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
11,Azithromycin,Macrolide antibiotic,Some bacterial infections,"Tablet, capsule, syrup","Some drug interactions and heart-rhythm risks can matter.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
12,Ciprofloxacin,Fluoroquinolone antibiotic,Selected bacterial infections,"Tablet, liquid, injection","Has important safety warnings. Not a routine self-medication choice.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
13,Cetirizine,Antihistamine / allergy medicine,"Sneezing, itching and other allergy symptoms","Tablet, syrup","Can make some people sleepy.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
14,Salbutamol (Albuterol),Bronchodilator / inhaler medicine,Helps relieve breathing problems such as bronchospasm,"Inhaler, nebulizer","Correct inhaler technique matters. Frequent need for it should be medically reviewed.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
15,Metformin,Diabetes medicine,Helps control blood sugar in type 2 diabetes,Tablet,"Kidney function matters. Rare but serious lactic acidosis is a known risk.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
16,Amlodipine,Calcium-channel blocker,High blood pressure and some heart conditions,Tablet,"May cause dizziness or ankle swelling.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
17,Losartan,ARB blood-pressure medicine,High blood pressure and some kidney/heart conditions,Tablet,"Pregnancy is an important safety concern. Kidney function and potassium may need monitoring.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
18,Atorvastatin,Statin / cholesterol medicine,Lowers cholesterol and cardiovascular risk,Tablet,"Drug interactions matter. Unexplained muscle symptoms need medical assessment.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
19,Furosemide,Diuretic / water tablet,Helps remove extra fluid,"Tablet, liquid, injection","Can change body fluids and electrolytes; monitoring may be needed.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
20,Aspirin,Antiplatelet / NSAID,"Some cardiovascular prevention uses; also pain/fever in some products","Tablet, chewable tablet","Increases bleeding risk. Preventive use is not suitable for everyone.","MedlinePlus + DailyMed/FDA; DRAP for Pakistan context"
